archetype_id,archetype_name,dwelling_type,renovation_state,construction_period_id,construction_period,u_value_package_id,u_value_package_source,stock_weight_source,stock_weight,floor_area_m2,ceiling_height_m,volume_m3,H_W_per_K,UA_W_per_K,C_J_per_K,thermal_mass_kWh_per_K,thermal_mass_Wh_per_C,occupants_per_dwelling,setpoint_awake_C,setpoint_sleep_C,setpoint_away_C,T_min_C,T_max_C,occupant_gain_away_W_per_person,occupant_gain_awake_W_per_person,occupant_gain_sleep_W_per_person,appliance_heat_gain_fraction,lighting_heat_gain_fraction,cooking_heat_gain_fraction,internal_gain_placeholder_W_per_m2,glazing_ratio,g_value,frame_fraction,dirt_factor,incidence_factor,shading_factor,orientation_share_north,orientation_share_east,orientation_share_south,orientation_share_west,ACH50_reference_h_inv,N_factor_default,ACH_inf_default_h_inv,ACH_vent_base_h_inv,ACH_vent_occupied_h_inv,ventilation_type,eta_HRV,cluster_reference,value_source,derivation_note,uncertainty_note
BE_RES_DETACHED_PRE_1946_AS_IS_HP_V1,Detached as-is <1946 HP,detached,as_is,pre_1946,<1946,tabula_current_pre_1946,Belgian TABULA current-state construction-element package,Statbel 2024 four-type dwelling share times Statbel 2024 type-specific construction-period mix; existing v2 within-type renovation share preserved.,0.032411520,185.0,2.5,462.5,816.127,816.127,5000000.0,1.3888888888888888,1388.888888888889,2.0,21.0,18.0,16.0,15.0,26.0,0.0,70.0,60.0,0.7,0.85,0.5,3.0,0.16,0.77,1.0,0.95,0.9,0.77,0.2,0.25,0.35,0.2,6.3,20.0,0.315,0.2,0.5,natural,0.0,as_is_pre_1946,statbel_2024_tabula_age_split_current_code_renovation_v1,"Age-split as-is archetype: top-level dwelling-type share from Statbel 2024 R1-R4 dwelling shares, construction-period share from Statbel 2024 type-specific building-count age mix, floor area from Belgian TABULA representative type means, and envelope U-values from Belgian TABULA current-state age packages.","Within-type renovated share is preserved from the previous runtime table because the research note did not provide empirical renovation shares; apartment age mix uses building-count proxy; ACH50, ventilation, thermal mass, solar factors, and behaviour remain archetype assumptions."
BE_RES_DETACHED_1946_1970_AS_IS_HP_V1,Detached as-is 1946-1970 HP,detached,as_is,1946_1970,1946-1970,tabula_current_1946_1970,Belgian TABULA current-state construction-element package,Statbel 2024 four-type dwelling share times Statbel 2024 type-specific construction-period mix; existing v2 within-type renovation share preserved.,0.039084480,185.0,2.5,462.5,746.962,746.962,5000000.0,1.3888888888888888,1388.888888888889,2.0,21.0,18.0,16.0,15.0,26.0,0.0,70.0,60.0,0.7,0.85,0.5,3.0,0.16,0.77,1.0,0.95,0.9,0.77,0.2,0.25,0.35,0.2,6.3,20.0,0.315,0.2,0.5,natural,0.0,as_is_1946_1970,statbel_2024_tabula_age_split_current_code_renovation_v1,"Age-split as-is archetype: top-level dwelling-type share from Statbel 2024 R1-R4 dwelling shares, construction-period share from Statbel 2024 type-specific building-count age mix, floor area from Belgian TABULA representative type means, and envelope U-values from Belgian TABULA current-state age packages.","Within-type renovated share is preserved from the previous runtime table because the research note did not provide empirical renovation shares; apartment age mix uses building-count proxy; ACH50, ventilation, thermal mass, solar factors, and behaviour remain archetype assumptions."
BE_RES_DETACHED_1971_1991_AS_IS_HP_V1,Detached as-is 1971-1991 HP,detached,as_is,1971_1991,1971-1991,tabula_current_1971_1991,Belgian TABULA current-state construction-element package,Statbel 2024 four-type dwelling share times Statbel 2024 type-specific construction-period mix; existing v2 within-type renovation share preserved.,0.060247296,185.0,2.5,462.5,465.964,465.964,5000000.0,1.3888888888888888,1388.888888888889,2.0,21.0,18.0,16.0,15.0,26.0,0.0,70.0,60.0,0.7,0.85,0.5,3.0,0.16,0.77,1.0,0.95,0.9,0.77,0.2,0.25,0.35,0.2,6.3,20.0,0.315,0.2,0.5,natural,0.0,as_is_1971_1991,statbel_2024_tabula_age_split_current_code_renovation_v1,"Age-split as-is archetype: top-level dwelling-type share from Statbel 2024 R1-R4 dwelling shares, construction-period share from Statbel 2024 type-specific building-count age mix, floor area from Belgian TABULA representative type means, and envelope U-values from Belgian TABULA current-state age packages.","Within-type renovated share is preserved from the previous runtime table because the research note did not provide empirical renovation shares; apartment age mix uses building-count proxy; ACH50, ventilation, thermal mass, solar factors, and behaviour remain archetype assumptions."
BE_RES_DETACHED_1992_2011_AS_IS_HP_V1,Detached as-is 1992-2011 HP,detached,as_is,1992_2011,1992-2011,tabula_current_1992_2011,Belgian TABULA current-state construction-element package,Statbel 2024 four-type dwelling share times Statbel 2024 type-specific construction-period mix; existing v2 within-type renovation share preserved.,0.045566784,185.0,2.5,462.5,353.653,353.653,5000000.0,1.3888888888888888,1388.888888888889,2.0,21.0,18.0,16.0,15.0,26.0,0.0,70.0,60.0,0.7,0.85,0.5,3.0,0.16,0.77,1.0,0.95,0.9,0.77,0.2,0.25,0.35,0.2,6.3,20.0,0.315,0.2,0.5,natural,0.0,as_is_1992_2011,statbel_2024_tabula_age_split_current_code_renovation_v1,"Age-split as-is archetype: top-level dwelling-type share from Statbel 2024 R1-R4 dwelling shares, construction-period share from Statbel 2024 type-specific building-count age mix, floor area from Belgian TABULA representative type means, and envelope U-values from Belgian TABULA current-state age packages.","Within-type renovated share is preserved from the previous runtime table because the research note did not provide empirical renovation shares; apartment age mix uses building-count proxy; ACH50, ventilation, thermal mass, solar factors, and behaviour remain archetype assumptions."
BE_RES_DETACHED_2012_PLUS_AS_IS_HP_V1,Detached as-is 2012+ HP,detached,as_is,2012_plus,2012+,tabula_current_2012_plus,Belgian TABULA current-state construction-element package,Statbel 2024 four-type dwelling share times Statbel 2024 type-specific construction-period mix; existing v2 within-type renovation share preserved.,0.013345920,185.0,2.5,462.5,198.504,198.504,5000000.0,1.3888888888888888,1388.888888888889,2.0,21.0,18.0,16.0,15.0,26.0,0.0,70.0,60.0,0.7,0.85,0.5,3.0,0.16,0.77,1.0,0.95,0.9,0.77,0.2,0.25,0.35,0.2,6.3,20.0,0.315,0.2,0.5,natural,0.0,as_is_2012_plus,statbel_2024_tabula_age_split_current_code_renovation_v1,"Age-split as-is archetype: top-level dwelling-type share from Statbel 2024 R1-R4 dwelling shares, construction-period share from Statbel 2024 type-specific building-count age mix, floor area from Belgian TABULA representative type means, and envelope U-values from Belgian TABULA current-state age packages.","Within-type renovated share is preserved from the previous runtime table because the research note did not provide empirical renovation shares; apartment age mix uses building-count proxy; ACH50, ventilation, thermal mass, solar factors, and behaviour remain archetype assumptions."
BE_RES_DETACHED_RENOVATED_HP_V1,Detached renovated HP,detached,renovated,all_periods,all periods,current_code_deep_renovation,current Flemish/Walloon EPB envelope levels,Statbel 2024 four-type dwelling share times existing v2 within-type renovation share.,0.074144000,185.0,2.5,462.5,134.254,134.254,10000000.0,2.7777777777777777,2777.777777777778,2.0,21.0,18.0,16.0,15.0,25.0,0.0,70.0,60.0,0.7,0.85,0.5,3.0,0.16,0.63,1.0,0.95,0.9,0.77,0.2,0.25,0.35,0.2,2.5,20.0,0.125,0.2,0.3,mechanical_extract,0.0,current_code_deep_renovation,statbel_2024_tabula_age_split_current_code_renovation_v1,"Single explicit renovated archetype: top-level dwelling-type share from Statbel 2024 R1-R4 dwelling shares, previous runtime within-type renovated share preserved, and envelope U-values assigned to a current-code deep-renovation package.","Renovation prevalence is not empirically re-estimated here; the current-code package is a technical counterfactual renovation state, not proof that all renovated dwellings in the stock meet current-code envelope levels."
BE_RES_SEMI_PRE_1946_AS_IS_HP_V1,Semi-detached as-is <1946 HP,semi_detached,as_is,pre_1946,<1946,tabula_current_pre_1946,Belgian TABULA current-state construction-element package,Statbel 2024 four-type dwelling share times Statbel 2024 type-specific construction-period mix; existing v2 within-type renovation share preserved.,0.043884869,143.0,2.5,357.5,577.972,577.972,10000000.0,2.7777777777777777,2777.777777777778,2.0,21.0,18.0,16.0,15.0,26.0,0.0,70.0,60.0,0.7,0.85,0.5,3.0,0.16,0.77,1.0,0.95,0.9,0.77,0.2,0.25,0.35,0.2,6.3,20.0,0.315,0.2,0.5,natural,0.0,as_is_pre_1946,statbel_2024_tabula_age_split_current_code_renovation_v1,"Age-split as-is archetype: top-level dwelling-type share from Statbel 2024 R1-R4 dwelling shares, construction-period share from Statbel 2024 type-specific building-count age mix, floor area from Belgian TABULA representative type means, and envelope U-values from Belgian TABULA current-state age packages.","Within-type renovated share is preserved from the previous runtime table because the research note did not provide empirical renovation shares; apartment age mix uses building-count proxy; ACH50, ventilation, thermal mass, solar factors, and behaviour remain archetype assumptions."
BE_RES_SEMI_1946_1970_AS_IS_HP_V1,Semi-detached as-is 1946-1970 HP,semi_detached,as_is,1946_1970,1946-1970,tabula_current_1946_1970,Belgian TABULA current-state construction-element package,Statbel 2024 four-type dwelling share times Statbel 2024 type-specific construction-period mix; existing v2 within-type renovation share preserved.,0.032278953,143.0,2.5,357.5,536.526,536.526,10000000.0,2.7777777777777777,2777.777777777778,2.0,21.0,18.0,16.0,15.0,26.0,0.0,70.0,60.0,0.7,0.85,0.5,3.0,0.16,0.77,1.0,0.95,0.9,0.77,0.2,0.25,0.35,0.2,6.3,20.0,0.315,0.2,0.5,natural,0.0,as_is_1946_1970,statbel_2024_tabula_age_split_current_code_renovation_v1,"Age-split as-is archetype: top-level dwelling-type share from Statbel 2024 R1-R4 dwelling shares, construction-period share from Statbel 2024 type-specific building-count age mix, floor area from Belgian TABULA representative type means, and envelope U-values from Belgian TABULA current-state age packages.","Within-type renovated share is preserved from the previous runtime table because the research note did not provide empirical renovation shares; apartment age mix uses building-count proxy; ACH50, ventilation, thermal mass, solar factors, and behaviour remain archetype assumptions."
BE_RES_SEMI_1971_1991_AS_IS_HP_V1,Semi-detached as-is 1971-1991 HP,semi_detached,as_is,1971_1991,1971-1991,tabula_current_1971_1991,Belgian TABULA current-state construction-element package,Statbel 2024 four-type dwelling share times Statbel 2024 type-specific construction-period mix; existing v2 within-type renovation share preserved.,0.019947668,143.0,2.5,357.5,336.145,336.145,10000000.0,2.7777777777777777,2777.777777777778,2.0,21.0,18.0,16.0,15.0,26.0,0.0,70.0,60.0,0.7,0.85,0.5,3.0,0.16,0.77,1.0,0.95,0.9,0.77,0.2,0.25,0.35,0.2,6.3,20.0,0.315,0.2,0.5,natural,0.0,as_is_1971_1991,statbel_2024_tabula_age_split_current_code_renovation_v1,"Age-split as-is archetype: top-level dwelling-type share from Statbel 2024 R1-R4 dwelling shares, construction-period share from Statbel 2024 type-specific building-count age mix, floor area from Belgian TABULA representative type means, and envelope U-values from Belgian TABULA current-state age packages.","Within-type renovated share is preserved from the previous runtime table because the research note did not provide empirical renovation shares; apartment age mix uses building-count proxy; ACH50, ventilation, thermal mass, solar factors, and behaviour remain archetype assumptions."
BE_RES_SEMI_1992_2011_AS_IS_HP_V1,Semi-detached as-is 1992-2011 HP,semi_detached,as_is,1992_2011,1992-2011,tabula_current_1992_2011,Belgian TABULA current-state construction-element package,Statbel 2024 four-type dwelling share times Statbel 2024 type-specific construction-period mix; existing v2 within-type renovation share preserved.,0.013661130,143.0,2.5,357.5,258.944,258.944,10000000.0,2.7777777777777777,2777.777777777778,2.0,21.0,18.0,16.0,15.0,26.0,0.0,70.0,60.0,0.7,0.85,0.5,3.0,0.16,0.77,1.0,0.95,0.9,0.77,0.2,0.25,0.35,0.2,6.3,20.0,0.315,0.2,0.5,natural,0.0,as_is_1992_2011,statbel_2024_tabula_age_split_current_code_renovation_v1,"Age-split as-is archetype: top-level dwelling-type share from Statbel 2024 R1-R4 dwelling shares, construction-period share from Statbel 2024 type-specific building-count age mix, floor area from Belgian TABULA representative type means, and envelope U-values from Belgian TABULA current-state age packages.","Within-type renovated share is preserved from the previous runtime table because the research note did not provide empirical renovation shares; apartment age mix uses building-count proxy; ACH50, ventilation, thermal mass, solar factors, and behaviour remain archetype assumptions."
